schedule_day,simulation_day,ICK2_3_capacity,ICK2_3_claimed_quantity,ICK1_4_capacity,ICK1_4_claimed_quantity,KCZ_capacity,KCZ_claimed_quantity,KTC_capacity,KTC_claimed_quantity,MCKG_capacity,MCKG_claimed_quantity,SK4SP4_capacity,SK4SP4_claimed_quantity,KCN_capacity,KCN_claimed_quantity,Daycare_capacity,Daycare_claimed_quantity
11,11,5,0,5,0,11,7,5,5,4,3,5,3,9,3,6,1
11,11,5,0,5,0,11,6,5,5,4,3,4,3,9,3,6,1
11,11,5,0,5,0,11,6,5,5,4,3,4,2,9,3,0,1
11,11,5,0,5,0,11,6,5,5,4,3,4,2,9,3,0,1
11,11,5,0,5,0,11,6,5,5,4,3,4,2,9,3,0,0
11,11,5,0,5,0,11,6,5,5,4,3,4,2,9,3,0,0
11,11,5,0,5,0,11,6,5,5,4,2,4,2,9,3,0,0
11,11,5,0,5,0,10,6,5,5,4,2,4,2,9,3,0,0
11,11,5,0,5,0,10,6,5,5,4,2,4,2,9,3,0,0
12,12,5,0,4,0,9,6,4,5,3,2,3,2,9,3,0,0
12,12,5,0,4,0,9,6,4,5,3,2,3,2,9,3,0,0
12,12,5,0,4,0,9,6,4,5,3,2,3,2,9,3,0,0
12,12,5,0,4,0,9,6,4,5,3,2,3,2,9,3,0,0
12,12,5,0,4,0,9,6,4,5,3,2,3,2,9,3,0,0
12,12,5,0,4,0,9,6,4,5,3,2,3,2,9,3,0,0
12,12,5,0,4,0,10,6,4,5,3,2,4,2,12,3,0,0
12,12,5,0,4,0,10,6,4,5,3,2,4,1,12,3,0,0
12,12,5,0,4,0,10,5,4,5,3,2,4,1,12,3,0,0
12,12,5,0,4,0,10,5,4,5,3,2,4,1,12,3,0,0
12,12,5,0,4,0,10,5,4,5,3,2,4,1,12,3,0,0
12,12,5,0,4,0,10,5,4,5,3,2,4,1,12,3,0,0
12,12,5,0,4,0,10,5,4,5,3,2,4,1,12,3,0,0
12,12,5,0,4,0,10,5,4,5,3,2,4,1,12,3,0,0
12,12,5,0,4,0,10,5,4,5,3,1,4,1,12,3,0,0
12,12,5,0,4,0,9,5,4,5,3,1,3,1,9,3,0,0
12,12,5,0,4,0,9,4,4,5,3,1,3,1,9,3,0,0
12,12,5,0,4,0,9,4,4,5,3,1,3,1,9,3,0,0
12,12,5,0,4,0,9,4,4,5,3,1,3,1,9,3,0,0
12,12,5,0,4,0,9,4,4,5,3,1,3,1,9,2,0,0
12,12,5,0,4,0,9,3,4,4,3,1,3,1,9,2,0,0
