Group,Distribution,Chi_Squared_Stat,Chi_Squared_p,KS_Stat,KS_p,Params
29,weibull,12.860528592183893,0.045305009892298465,0.08889782138154778,0.6323262811582379,"(1.1826937830744626, 19.92071149441759, 19.530278328248222)"
29,normal,96.5914771823874,0.0,0.1766932435335492,0.02666111473611965,"(38.208955223880594, 16.501955843767032)"
29,lognorm,13.622087760683707,0.03415464819752856,0.09445189518513591,0.5563350673384067,"(0.5564204621440879, 11.560431345292097, 22.74225774974244)"
29,loglogistic,14.39889432535763,0.025484208151541843,0.08155411342060881,0.7333371294618676,"(2.9309347647339785, 13.369649791298421, 20.432584794087077)"
29,pearson3,17.28606793211578,0.008287450264150786,0.11304685741259485,0.3333769222247248,"(1.294027737308081, 38.208890630662154, 15.104422321577195)"
30,gamma,7.391723681412582,0.2861340901890026,0.06525093410775723,0.7273416839447241,"(2.3421168199794598, 16.419429066152254, 11.867696843481674)"
30,weibull,6.976501961150212,0.32302575748631557,0.04832529464498564,0.9536619095486318,"(1.5777397003618678, 17.467994853952924, 29.777871809414346)"
30,normal,26.557499985265213,0.0004002452604281448,0.0990380448477734,0.2290796023547863,"(44.21495327102804, 17.197602548292345)"
30,lognorm,9.128215574910396,0.16649468508799448,0.06764486631731631,0.6859818953624588,"(0.4728608842888837, 7.085367324123949, 33.32114903220089)"
30,loglogistic,11.467095707454371,0.07496940902772764,0.06977578062211004,0.6487776372922998,"(3.113809602014152, 10.892398960965053, 29.517524722474974)"
30,pearson3,7.3916664777965,0.28613893978314486,0.06525108735560375,0.7273390627293241,"(1.3068567521061953, 44.21497952593092, 18.16235890817459)"
31,gamma,10.818852740162434,0.09413896428947333,0.047089077724640716,0.63403203251485,"(9.373486391092545, 7.056230611911814, 9.439460582686246)"
31,weibull,9.146621716017066,0.165498534718575,0.04587044752419184,0.666159245743586,"(2.2208400703933457, 35.46902587210103, 67.80528679839311)"
31,normal,16.563729390625866,0.020436601226793583,0.07974068200291629,0.08503305703937591,"(95.53688524590164, 28.567339774184727)"
31,lognorm,11.258983321415153,0.08069452676686362,0.05154482329751037,0.5190086532836332,"(0.20747235672396358, -41.97939671938039, 134.599829174124)"
31,loglogistic,15.64595514563264,0.01578584383910009,0.05928056781684382,0.34430832903331077,"(7.124785484110549, -23.885642852251472, 116.34335901927552)"
31,pearson3,10.818911349645441,0.09413704596400241,0.04708954839569246,0.6340196332867557,"(0.6532511515667074, 95.53691539711252, 28.8999785579912)"
32,gamma,30.599767897128736,3.022145727593628e-05,0.04289620376184666,0.08762425854544942,"(13.909567742282952, -38.93681236004524, 8.665987574385964)"
32,weibull,56.81183166165476,1.994384657422188e-10,0.059221221177032324,0.005218905054221902,"(2.4681555611800796, 5.011732206301524, 86.19182290336843)"
32,normal,126.68705833546865,0.0,0.07077074738814337,0.000411544256678157,"(81.60332541567696, 32.55872659944973)"
32,lognorm,27.63739122188927,0.00010994612729431363,0.03992111612777405,0.1329485420877814,"(0.1901490876463391, -87.08135026439857, 165.65508563406325)"
32,loglogistic,49.716761399072766,5.357523757965055e-09,0.04194459109125975,0.10045227300064297,"(4.2106586647604285, -0.21247215445134085, 77.36673750640193)"
32,pearson3,30.599876352756176,3.0220018798710058e-05,0.04289590215074768,0.08762809565633001,"(0.5362575217267607, 81.60331260297262, 32.32023344529412)"
33,gamma,39.3387665379277,6.1423673791694e-07,0.05633496215903286,0.2443526298425569,"(24.765562622863055, -101.20070851364608, 9.146227736075119)"
33,weibull,61.68275834518199,2.0471069284155874e-11,0.07638698600515498,0.042727061543264,"(2.6533715815146772, 8.623007952309347, 130.8492554989162)"
33,normal,116.27412486420047,0.0,0.06344903176335126,0.13989905079025955,"(125.31076923076922, 45.90322972741988)"
33,lognorm,36.41247959103762,2.2917168582825553e-06,0.05572146008353557,0.25556483440221456,"(0.14340886344952528, -190.53402370490466, 312.6029011460035)"
33,loglogistic,18.08315152866623,0.006027720695211625,0.028577194701046332,0.9464528930332025,"(13.993425031486886, -220.48532521976705, 343.0485142651742)"
33,pearson3,39.338834512364016,6.142178773371754e-07,0.05633511098163846,0.24434995505106194,"(0.401888530004743, 125.3107403020935, 45.51620271989081)"
34,gamma,4.420956703674228,0.6199054055452253,0.05579865742427159,0.6371519822753773,"(6.350482979628222, 12.856961572401879, 26.631010366887192)"
34,weibull,6.323876019631655,0.38790395348478546,0.05691113486185945,0.6125746931083804,"(1.8387602935141356, 65.2055831402492, 132.3629776173338)"
34,normal,45.37139922479582,1.1583349057708858e-07,0.08606574213553275,0.14752906992054582,"(181.97674418604652, 67.12180471701758)"
34,lognorm,4.088536151268544,0.6646962861556911,0.053872570552818355,0.6797832590432273,"(0.27288879806961486, -59.840635260732725, 232.98801412899627)"
34,loglogistic,3.9623228466388816,0.6817753128935983,0.04408605429327217,0.8768958835225257,"(6.048245188156552, -46.3680342240539, 219.60948527219426)"
34,pearson3,4.420941339019705,0.6199074635053168,0.055798721633593285,0.6371505611201782,"(0.7936468685630962, 181.97675828954166, 67.11063347028934)"
35,gamma,12.069717479576763,0.060431443254503,0.03446242265660887,0.7881830258294994,"(17.95164816186093, -130.3005206957489, 19.255142694314582)"
35,weibull,52.06089448517991,1.812970995551666e-09,0.04500501712293481,0.4660250290281418,"(2.1685225496205227, 59.83488388656427, 180.35534872727067)"
35,normal,37.90872288500429,3.1536767702844415e-06,0.05651098735602644,0.20703512636584487,"(215.36103151862463, 82.11220414073665)"
35,lognorm,11.128135691110158,0.08449605992553211,0.03302008950322405,0.8288210879508048,"(0.16797704735802077, -267.45761758663787, 476.0395608452377)"
35,loglogistic,6.359959578809841,0.38409767743475953,0.026920791067635508,0.9561247933419809,"(9.463699923219286, -214.59740274054502, 422.38160813430716)"
35,pearson3,12.069728842931402,0.06043119558409904,0.03446238612205438,0.7881840891422365,"(0.47203812081038415, 215.36102233353444, 81.58284018879266)"
36,gamma,45.557876005533906,3.6253941071429097e-08,0.06296560400668333,0.19832487931247245,"(3088.1035494589414, -5775.993351036468, 2.014657209775562)"
36,weibull,50.03489211539228,4.625957839010653e-09,0.08834531305744497,0.021610802572691403,"(4.621866355228308, -42.05089321674657, 530.3281007670231)"
36,normal,42.77328071441037,3.6892792909526406e-07,0.062452490026096596,0.205815891058866,"(445.4020979020979, 111.85162434996052)"
